id,分類,要件名,概要,利用者
REQ-001,応募,コンテスト告知と応募受付,コンテストの告知および応募用のサイトを用意する。サイトは紹介者から知らされた者のみが参照でき、一般公開はしない。サイトではコンテスト内容を理解しやすいように図やイラストを用いて説明する。,コンテスト応募者(小中学生)
REQ-002,応募,応募情報の入力,応募者は応募サイトから必要事項を入力して応募する。必須項目は、氏名、年齢、eメールアドレス、電話番号、応募作品のプログラムファイル（sb3）、作品タイトルとする。任意項目は作品の内容説明文とする。最大2作品まで応募可能とする。,コンテスト応募者(小中学生)
REQ-003,応募,応募受付メール,応募が完了すると、応募者に受付メールを送信する。メールには名前、作品名、審査結果発表日時を記載する。,コンテスト応募者(小中学生)
REQ-004,応募,応募サイトの情報,応募サイトには、応募締め切り（2025年3月末日）、審査結果発表日（2025年5月3日）、プライバシーポリシー、主催者情報、主催者の思いを掲載する。,コンテスト応募者(小中学生)
REQ-005,審査,審査員による作品参照,複数の審査員が全ての応募作品を参照できるようにする。各作品には、担当審査員、審査結果（15段階評価）、審査ステータス、審査開始日、審査完了日を付与する。,コンテスト審査員
REQ-006,審査,審査員による作品選択と審査,審査員は、審査対象の作品を選び、審査結果を入力する。審査サイトはログイン必須で、審査員のみがアクセスできる。,コンテスト審査員
REQ-007,審査,審査サイトの構成,審査サイトのトップページには、応募作品一覧ページと個別作品ページへのリンクがある。応募作品一覧ページでは、審査ステータスでフィルタリングが可能。個別作品ページでは、作品名、作品内容説明(あれば)、作品ファイル(sb3)、年齢が表示される。,コンテスト審査員
REQ-008,審査,審査結果の入力,個別作品ページには、作り込み度（1〜5）、ユニーク度（1〜5）、見た目度（1〜5）、フリーコメント欄、完了ボタンがある。審査員は全て入力後、完了ボタンを押す。,コンテスト審査員
REQ-009,審査,審査完了時のアニメーション,審査員が審査結果を完了すると、審査を労うアニメーションが表示される。,コンテスト審査員
REQ-010,その他,システム負荷要件,システムは最大200人までの同時アクセス、50人までの同時ダウンロードに耐えること。最大100作品の応募を格納できるデータベースとストレージを確保する。,コンテスト主催者
REQ-011,その他,個人情報の保護,応募者の個人情報は厳重に管理し、外部に漏洩しないようにする。データベースとストレージは、日本時間の夜中に1日1回バックアップする。,コンテスト主催者
REQ-012,その他,作品の識別,同一応募者が複数作品を応募した場合、それぞれの作品を識別できるようにする。,コンテスト主催者
REQ-013,その他,応募情報のダウンロード制限,応募情報のうち、sb3ファイルを除く個人情報はサイトからダウンロードできないようにする。応募作品のsb3ファイルは、審査サイトからダウンロード可能とする。,コンテスト主催者
REQ-014,その他,応募サイトの対応デバイス,PCからの応募を想定するが、スマホやタブレットからも応募できるようにする。,コンテスト応募者(小中学生)
