id,分類,画面名,概要,構成要素,操作手順,利用者,権限,ファイル名,入力,出力,共通コンポーネントファイル
SCR-001,応募,トップページ,コンテストのトップページ。コンテストの概要や応募へのリンクを表示する。,ヘッダー、コンテスト概要セクション、応募ボタン,ページを閲覧する。,コンテスト応募者(小中学生),guest,index.tsx,[],[],"[""Header.tsx"",""Footer.tsx""]"
SCR-002,応募,コンテスト説明ページ,コンテストの詳細な説明を表示するページ。コンテストのルール、スケジュール、主催者情報などを表示する。,ヘッダー、コンテストルールセクション、スケジュールセクション、主催者情報セクション、プライバシーポリシーへのリンク、応募ボタン,ページを閲覧する。プライバシーポリシーへのリンクをクリックする。応募ボタンをクリックする。,コンテスト応募者(小中学生),guest,info.tsx,"[{""table"":""contest_announcement"", ""items"":[""title"", ""description"", ""start_date"", ""end_date"", ""result_announcement_date"", ""organizer_info"", ""organizer_message""]}]",[],"[""Header.tsx"",""Footer.tsx""]"
SCR-003,応募,プライバシーポリシー,プライバシーポリシーを表示するページ。,ヘッダー、プライバシーポリシーテキスト,ページを閲覧する。,コンテスト応募者(小中学生),guest,privacy.tsx,"[{""table"":""contest_announcement"", ""items"":[""privacy_policy""]}]",[],"[""Header.tsx"",""Footer.tsx""]"
SCR-004,応募,応募フォーム,応募情報を入力するフォームを表示するページ。,ヘッダー、応募フォーム（氏名、年齢、eメールアドレス、電話番号、作品タイトル、作品内容説明、sb3ファイルアップローダー、応募ボタン）,フォームに情報を入力する。sb3ファイルをアップロードする。応募ボタンをクリックする。,コンテスト応募者(小中学生),guest,entry.tsx,[],[],"[""Header.tsx"",""Footer.tsx""]"
SCR-005,応募,応募内容確認,応募内容を確認するページ。,ヘッダー、応募内容表示セクション、修正ボタン、確定ボタン,応募内容を確認する。修正ボタンをクリックして応募フォームに戻る。確定ボタンをクリックする。,コンテスト応募者(小中学生),guest,confirm.tsx,[],[],"[""Header.tsx"",""Footer.tsx""]"
SCR-006,応募,応募完了,応募完了メッセージを表示するページ。,ヘッダー、応募完了メッセージ、トップページへのリンク,ページを閲覧する。トップページへのリンクをクリックする。,コンテスト応募者(小中学生),guest,complete.tsx,[],[],"[""Header.tsx"",""Footer.tsx""]"
SCR-007,審査,審査員ログイン画面,審査員がログインするための画面。,ヘッダー、審査員ID入力フォーム、パスワード入力フォーム、ログインボタン,審査員IDとパスワードを入力してログインボタンをクリックする。,コンテスト審査員,guest,judge/login.tsx,[],[],"[""Header.tsx"",""Footer.tsx""]"
SCR-008,審査,審査サイトトップ画面,審査サイトのトップ画面。応募作品一覧ページと個別作品ページへのリンクを表示する。,ヘッダー、応募作品一覧ページへのリンク、個別作品ページへのリンク,ページを閲覧する。応募作品一覧ページまたは個別作品ページへのリンクをクリックする。,コンテスト審査員,loged-in user,judge/index.tsx,[],[],"[""Header.tsx"",""Footer.tsx""]"
SCR-009,審査,応募作品一覧画面,応募作品の一覧を表示する画面。審査ステータスでフィルタリング可能。,ヘッダー、応募作品リスト（作品名、応募者、審査ステータス）、フィルタリング機能（審査ステータス）,ページを閲覧する。フィルタリング機能を使用して表示する作品を絞り込む。作品をクリックすると個別作品詳細ページに遷移する。,コンテスト審査員,loged-in user,judge/works.tsx,"[{""table"":""contest_entry"", ""items"":[""id"", ""work_title"",""name""]},{""table"":""review"", ""items"":[""review_status""]}]",[],"[""Header.tsx"",""Footer.tsx""]"
SCR-010,審査,個別作品詳細画面,個別作品の詳細を表示する画面。作品名、作品内容説明(あれば)、作品ファイル(sb3)、年齢を表示する。,ヘッダー、作品名表示、作品内容説明表示、sb3ファイルダウンロードリンク、年齢表示、審査結果入力フォームへのリンク,ページを閲覧する。sb3ファイルをダウンロードする。審査結果入力フォームへのリンクをクリックする。,コンテスト審査員,loged-in user,judge/works/[id].tsx,"[{""table"":""contest_entry"", ""items"":[""work_title"", ""work_description"",""sb3_file_path"",""age""]}]",[],"[""Header.tsx"",""Footer.tsx""]"
SCR-011,審査,審査結果入力フォーム画面,個別作品の審査結果を入力するフォームを表示する画面。,ヘッダー、審査結果入力フォーム（作り込み度、ユニーク度、見た目度、フリーコメント）、登録ボタン,審査結果を入力し、登録ボタンをクリックする。,コンテスト審査員,loged-in user,judge/works/[id]/evaluation.tsx,[],[],"[""Header.tsx"",""Footer.tsx""]"
SCR-012,審査,審査完了アニメーション画面,審査結果完了時に、審査を労うアニメーションを表示する画面。,ヘッダー、アニメーション表示,ページを閲覧する。,コンテスト審査員,loged-in user,judge/works/[id]/complete.tsx,[],[],"[""Header.tsx"",""Footer.tsx""]"
